subject,count,link
"forestry",53,"https://evanwill.github.io/hearings-text/browse.html#forestry"
"conservationist",34,"https://evanwill.github.io/hearings-text/browse.html#conservationist"
"elected official",24,"https://evanwill.github.io/hearings-text/browse.html#elected%20official"
"sportspeople",22,"https://evanwill.github.io/hearings-text/browse.html#sportspeople"
"oil and gas",16,"https://evanwill.github.io/hearings-text/browse.html#oil%20and%20gas"
"mining",12,"https://evanwill.github.io/hearings-text/browse.html#mining"
"agriculture",10,"https://evanwill.github.io/hearings-text/browse.html#agriculture"
"idaho conservation league",9,"https://evanwill.github.io/hearings-text/browse.html#idaho%20conservation%20league"
"idaho state senate",8,"https://evanwill.github.io/hearings-text/browse.html#idaho%20state%20senate"
"education",7,"https://evanwill.github.io/hearings-text/browse.html#education"
"louisiana-pacific corp",6,"https://evanwill.github.io/hearings-text/browse.html#louisiana-pacific%20corp"
"women in timber",6,"https://evanwill.github.io/hearings-text/browse.html#women%20in%20timber"
"agency",6,"https://evanwill.github.io/hearings-text/browse.html#agency"
"associated logging contractors",5,"https://evanwill.github.io/hearings-text/browse.html#associated%20logging%20contractors"
"idaho fish and game commision",4,"https://evanwill.github.io/hearings-text/browse.html#idaho%20fish%20and%20game%20commision"
"idaho forest industry council",4,"https://evanwill.github.io/hearings-text/browse.html#idaho%20forest%20industry%20council"
"idaho state house of representatives",4,"https://evanwill.github.io/hearings-text/browse.html#idaho%20state%20house%20of%20representatives"
"northwest mining association",4,"https://evanwill.github.io/hearings-text/browse.html#northwest%20mining%20association"
"audubon society",4,"https://evanwill.github.io/hearings-text/browse.html#audubon%20society"
"u.s. house of representatives",3,"https://evanwill.github.io/hearings-text/browse.html#u.s.%20house%20of%20representatives"
"idaho wildlife federation",3,"https://evanwill.github.io/hearings-text/browse.html#idaho%20wildlife%20federation"
"construction",3,"https://evanwill.github.io/hearings-text/browse.html#construction"
"inland forest resource council",3,"https://evanwill.github.io/hearings-text/browse.html#inland%20forest%20resource%20council"
"chamber of commerce",3,"https://evanwill.github.io/hearings-text/browse.html#chamber%20of%20commerce"
"salmon river breaks association",3,"https://evanwill.github.io/hearings-text/browse.html#salmon%20river%20breaks%20association"
"idaho trail machines association",2,"https://evanwill.github.io/hearings-text/browse.html#idaho%20trail%20machines%20association"
"international woodworkers of america",2,"https://evanwill.github.io/hearings-text/browse.html#international%20woodworkers%20of%20america"
"idaho petroleum council",2,"https://evanwill.github.io/hearings-text/browse.html#idaho%20petroleum%20council"
"potlatch corp",2,"https://evanwill.github.io/hearings-text/browse.html#potlatch%20corp"
"panhandle environmental league",2,"https://evanwill.github.io/hearings-text/browse.html#panhandle%20environmental%20league"
"federation of fly fishers",2,"https://evanwill.github.io/hearings-text/browse.html#federation%20of%20fly%20fishers"
"political group",2,"https://evanwill.github.io/hearings-text/browse.html#political%20group"
"edwards investments",2,"https://evanwill.github.io/hearings-text/browse.html#edwards%20investments"
"trus joist corp",2,"https://evanwill.github.io/hearings-text/browse.html#trus%20joist%20corp"
"bonners ferry city council",2,"https://evanwill.github.io/hearings-text/browse.html#bonners%20ferry%20city%20council"
